대화ID,화자A ID,화자A 성별,화자A 연령대,화자B ID,화자B 성별,화자B 연령대,화자C ID,화자C 성별,화자C 연령대,주제,키워드,발화 번호,발화자,발화,신조어
,,,,,,,,,,,,11,A,"방송 내용에서는 강사육사님이 반환 날짜는 아직 정해지지 않았지만, 내년 초가 되지 않을까 싶다고 하더라고.",
,,,,,,,,,,,,12,B,힝 ㅠㅠ. 난 만약 우리 강아지를 어디로 보내야 한다면... 절대 못 보낼 거 같아.,
,,,,,,,,,,,,13,A,"나도 그래. 근데 사육사님 말로는 같이 있었으면 하는 건 사람 입장이고, 푸바오도 짝을 만나고 엄마도 돼야 하는 시기라고 하더라고.",
,,,,,,,,,,,,14,B,"아.. 그러네. 푸바오도 사람하고는 평생 살 수가 없는 거니까 말이야.. 나, 푸바오를 보러 가야겠어! 에버랜드가 어디에 있더라?",
,,,,,,,,,,,,15,A,ㅋㅋ 갑자기? 에버랜드는 용인에 있단다. 가게 되면 인증샷 보내주렴.,인증샷
,,,,,,,,,,,,16,B,알겠어! 조만간 푸바오 보고 사진 보내줄게!,
290426,0011,여자,30,0112,남자,30,,,,콘텐츠 소비,하트시그널 시즌4,1,A,"친구야, 요즘 '하트시그널 시즌4'에 푹 빠져서 밤새워보고 있어.",
,,,,,,,,,,,,2,B,ㅎㅎ '하트시그널' 재밌다고 소문나 있더라. 그런데 시즌4 벌써 끝난 거야?,
,,,,,,,,,,,,3,A,"응, 8월 25일에 마지막 방송 했어. 그래서 지금 다시 보고 있는 거야.",
,,,,,,,,,,,,4,B,"오, 결말이 나왔군. 나도 한 번 찾아봐야겠다. '하트시그널 시즌4' 몇 회로 돼 있어?",
,,,,,,,,,,,,5,A,전체 15회야. 아직도 더 보고 싶은 마음 가득해.,
,,,,,,,,,,,,6,B,진짜 그렇게 볼만해? 어디서 다시볼 수 있는지 알려 줄래?,
,,,,,,,,,,,,7,A,"여기저기 많이 있어. 시리즈온, 티빙, 웨이브, 넷플릭스에서 볼 수 있어.",
,,,,,,,,,,,,8,B,"우와, 대단하네. 이번 '하트시그널 시즌4'에 '굿피플'에 나왔던 그 사람도 나왔다며? 이름이 뭐더라?",
,,,,,,,,,,,,9,A,"이주미 얘기하는 거지? '굿피플'에선 로펌 인턴이었는데, 이번엔 변호사로 등장하더라고.",
,,,,,,,,,,,,10,B,그래? '하트시그널 시즌4'에 메기 같은 인물들도 있는 거야?,
,,,,,,,,,,,,11,A,"있지! 메기녀는 유이수라고 하고, 메기남은 이후신이라고 해. 둘 다 매력 넘치는 인물들이야.",
,,,,,,,,,,,,12,B,메기들이 있으면 사랑의 교류가 더 흥미진진해지잖아. 갑자기 분위기가 흔들리고 그래.,
,,,,,,,,,,,,13,A,진짜 그래. '하트시그널' 볼 때마다 남의 사랑 이야기에 푹 빠지는 것 같아.,
,,,,,,,,,,,,14,B,"정말 그래. 근데 방송에 나오는 사람들이 현실에서는 보기 힘든 엄친아, 엄친딸들만 나와서 그래.",
,,,,,,,,,,,,15,A,"맞아, 다들 너무 예쁘고 잘생기고 능력도 좋아서 놀랍더라.",
,,,,,,,,,,,,16,B,"응, 그런 사람들이 나와서 시청률도 잘 나오는 것 같아.",
,,,,,,,,,,,,17,A,거의 연예인 못지않게 멋있어. 어서 너도 한번 봐봐!,
276401,0102,여자,30,0113,남자,30,,,,콘텐츠 소비,뉴진스 신곡 발표 - ETA,1,A,뉴진스 신곡 들어봤어? 넘 좋던데. 완전 취저야.,취저
,,,,,,,,,,,,2,B,제목이 뭐야? 아직 음원 사이트에선 못 들어봤는데 TV광고로 본 거 같아.,
,,,,,,,,,,,,3,A,ETA. 그 공항 가면 도착 예정 시간으로 뜨는 영어 약자.,
,,,,,,,,,,,,4,B,오 글쿤. 하입보이나 수퍼 샤이도 그렇고 곡 제목이 항상 심플한 편인 거 같네!,글쿤
,,,,,,,,,,,,5,A,기억하기 쉽다는 의미지?ㅋㅋ 암튼 TV 광고라면 아이폰 광고 본 거야?,
,,,,,,,,,,,,6,B,응! 무슨 뉴진스 뮤직비디오를 아이폰으로 찍었다면서 14 Pro 광고였음ㅋㅋ,
,,,,,,,,,,,,7,A,아이폰으로 찍은 광고는 어때 보였어? 안무가 곡이랑 완전 착붙이던데.,착붙
,,,,,,,,,,,,8,B,찍느라 힘들었겠다는 생각밖에ㅋㅋ 곡 분위기는 여태 발표했던 곡이랑 일관성이 느껴지던데 이번에도 같은 작곡가가 작업했대?,
,,,,,,,,,,,,9,A,응 이번에도 250이 작곡하고 편곡했더라고. 작사는 빈지노랑 다른 분들이 작업함,
,,,,,,,,,,,,10,B,그분이 뉴진스 메인 프로듀서인 거지?,
,,,,,,,,,,,,11,A,마즘. 진짜 뉴진스는 멤버 개인 역량도 뛰어나지만 이오공이 곡 쓰고 민희진이 컨셉 잡고 해서 더 대박이 난 거 아닌가 싶어.,
,,,,,,,,,,,,12,B,짜짜 그런 거 같음. 대박나려면 온 우주가 힘을 모아야..,짜짜
,,,,,,,,,,,,13,A,그래서 나 첫 EP 나왔을 때부터 빠져들었잖아ㅋㅋ Attention 듣자마자 이거다 싶었지.,
,,,,,,,,,,,,14,B,이번 신곡도 중독성 대박인 거 같아. 그 후렴구 가사가 뭐더라?,
,,,,,,,,,,,,15,A,What's your ETA? 뉴진스 노래 부르러 노래방 가고 싶네ㅋㅋ,
,,,,,,,,,,,,16,B,같이 가자! 어텐션부터 메들리로 부르러ㅋㅋ,
320012,0037,여자,20,0107,남자,20,0148,여자,20,콘텐츠 소비,복면가왕 - 김성주 아들 김민국 출연,1,A,이번에 나온 복면가왕 보셨어요?,
,,,,,,,,,,,,2,B,복면가왕이요? 저 그런 음악 프로그램에 별로 관심 없어서 안 봤어요.,
,,,,,,,,,,,,3,C,와... 진짜 안 본 거예요? 이번 편은 엄청 재미있었는데요ㅋㅋ.,
,,,,,,,,,,,,4,A,"공감합니다. 저는 실시간으로 시청했는데, 출연진 보고 정말 놀랐어요.",
,,,,,,,,,,,,5,B,응? 누가 나왔길래 그런 반응인 거죠?,
,,,,,,,,,,,,6,C,이번에는 김민국이 나왔어요. 아버지가 MC로 있는 프로그램에 몰래 나온 거예요ㅋㅋ.,
,,,,,,,,,,,,7,A,맞아요ㅋㅋ. 아빠어디가에 나온 지가 벌써 10년 됐다고 하더라고요. 패널들이랑 관객들도 엄청 놀랐어요.,
,,,,,,,,,,,,8,B,아빠어디가요? 그거 유명인의 자녀들이 나오는 그 프로그램 맞죠? 저도 예전에 봤었어요.,
,,,,,,,,,,,,9,C,예전엔 아빠어디가 안 본 사람 찾기가 더 어려웠죠ㅋㅋ.,
,,,,,,,,,,,,10,A,정말요. 그때 저도 가족들이랑 다 같이 보면서 웃었어요ㅋㅋ.,
,,,,,,,,,,,,11,B,그런데 10년이나 지난 후에 복면가왕에 나온다니... 정말 대단하네요. 혹시 우승했나요?,
,,,,,,,,,,,,12,C,"아니요, 경쟁자에게 졌어요. 아쉽게도 우승은 못 했답니다. 그런데 우리가 알던 어렸을 때의 김민국 목소리와는 달랐어요.",
,,,,,,,,,,,,13,A,저도 처음엔 몰랐어요. 1라운드에서 탈락해서 우승 못 했어요ㅠㅠ.,
,,,,,,,,,,,,14,B,"아, 그게 아쉽네요. 그럼 경쟁자는 누구였나요? 어떤 노래를 불렀나요?",
,,,,,,,,,,,,15,C,김민국은 그날 '오리발'이란 이름으로 나왔어요. 상대는 '수영모자'라는 이름을 가진 사람에게 졌어요ㅠㅠ.,
,,,,,,,,,,,,16,A,맞아요. 수영모자가 참 잘 불렀어요. 그 사람이 부른 노래는 버스커버스커의 '여수밤바다'였어요.,
,,,,,,,,,,,,17,B,"오, '여수밤바다'라... 김민국이랑 잘 어울리는 것 같아요. 그럼 탈락하면 바로 끝인가요? 추가로 노래는 안 부르나요?",
,,,,,,,,,,,,18,C,"아니에요, 한 곡을 두 사람이 부르고 한 명이 탈락하면, 그 사람이 가면을 벗고 한 곡을 더 부르는 거예요.",
,,,,,,,,,,,,19,A,그래서 김민국이 가면을 벗고 '위잉위잉'을 불렀어요.,
,,,,,,,,,,,,20,B,위잉위잉'이요? 그 노래도 잘 어울릴 것 같아요!,
,,,,,,,,,,,,21,C,정말요ㅋㅋ. 선곡이 아주 좋았어요.,
,,,,,,,,,,,,22,A,노래도 잘 불렀는데 상대가 조금 더 잘해서 탈락한 게 아쉬웠어요ㅠㅠ.,
,,,,,,,,,,,,23,B,이해해요. 그래도 깜짝 등장이었다니... 재방송이라도 봐야겠어요.,
,,,,,,,,,,,,24,C,꼭 보세요ㅋㅋ. 나중에 보고 다시 얘기해요.,
290682,0056,여자,40,0128,남자,40,,,,콘텐츠 소비,이선균 정유미 주연 '잠' 토론토 국제 영화제 초청,1,A,요번에 '잠'이라는 영화 개봉했다는 거 들었어?,
,,,,,,,,,,,,2,B,"헐, 벌써 나왔어? 예고 보니까 재미있을 것 같아서 기다리고 있었어.",
,,,,,,,,,,,,3,A,9월 6일에 나왔어. 지금까지 박스오피스에서 1위 찍고 있더라고. 게다가 토론토 국제 영화제에도 초대 받았다며.,
,,,,,,,,,,,,4,B,대박! '잠'이라는 게 공포 영화 맞지? 어떤 부문으로 초대된 거야?,
,,,,,,,,,,,,5,A,"내가 알아봤는데, 미드나이트 매드니스라는 섹션에 초대 받았대. 이 섹션은 장르 영화 중에서도 강렬한 분위기를 가진 작품들 소개하는 거래.",
,,,,,,,,,,,,6,B,토론토 국제 영화제에 초청되는 건 진짜 작품성 인정받는 거 같아. 나 아직 안 봤는데 급 보고픈데.,
,,,,,,,,,,,,7,A,나도 아직 안 봤어. 진짜 기대되는데. 감독이 유재선이라 더 관심 가지게 되더라고.,
,,,,,,,,,,,,8,B,유재선 감독 유명한 사람이야?,
,,,,,,,,,,,,9,A,그 사람이 '옥자'에서 봉준호 감독님하고 연출부로 일했던 사람이야. '잠'이 첫 장편 연출작이라고 하더라고.,
,,,,,,,,,,,,10,B,어머! 근데 나 이 영화 제목이랑 주연배우들은 알고 있는데 스토리는 어떻게 되는지 알아?,
,,,,,,,,,,,,11,A,"주인공 이선균 씨가 자다가 이상한 행동을 보여서 그게 문제가 되고, 아내 역할인 정유미 씨가 과거로 돌아가려고 애쓰는 내용이라고 해.",
,,,,,,,,,,,,12,B,그래? '잠'을 소재로 어떻게 공포를 담아냈는지 궁금하네. 정유미 씨 연기가 많이 뛰어나다고 소문났다며?,
,,,,,,,,,,,,13,A,나도 그렇게 들었어. 정유미 씨뿐만 아니라 다른 배우들도 연기를 완전 잘한다고 하더라고. 봉준호 감독님이 최근 10년 중 가장 창의적인 공포영화라고 평가했다는데.,
,,,,,,,,,,,,14,B,연기도 잘하고 연출도 훌륭하면 정말 봐야겠다! 봉준호 감독님이 그렇게 말씀하시면 완성도가 높을 거 같아.,
,,,,,,,,,,,,15,A,응응. 그리고 이것도 알아? '잠'이 올해 5월에 칸 영화제 비평가 주간에서 월드 프리미어로 상영됐었대.,
,,,,,,,,,,,,16,B,진짜? 그건 몰랐네. 한국에 개봉하기 전부터 인기가 많았구나. 칸에서는 평가가 어떻게 나왔어?,
,,,,,,,,,,,,17,A,"글쎄, 기사를 찾아보니까 정말 독특한 스토리와 예측 불가능한 전개로 호평받았다고 하더라고.",
,,,,,,,,,,,,18,B,"우와, 그렇다면 바로 예매해야겠네.",
,,,,,,,,,,,,19,A,"그치? 10월에 있는 시체스영화제 경쟁 부문에도 초청받았다는데, 이건 정말 대단한 거 아냐?",
,,,,,,,,,,,,20,B,이번 주말에 극장 가서 바로 영화 봐야겠다. 어서 인터넷으로 예매해야지!,
273119,0021,여자,30,0111,남자,30,,,,콘텐츠 소비,콘크리트 유토피아,1,A,영화 콘크리트 유토피아 알아?,
,,,,,,,,,,,,2,B,당연하지!ㅎㅎ 영화관 가서 직접 보고왔는데 짜짜 재밌더라.,짜짜
,,,,,,,,,,,,3,A,"나는 아직 안봤는데 웹툰 원작이라던데, 맞아?",
,,,,,,,,,,,,4,B,ㅇㅇ. 김숭늉 작가의 웹툰 '유쾌한 왕따'가 원작이야.,ㅇㅇ
,,,,,,,,,,,,5,A,글쿤. 출연하는 배우는 누가 있어?,글쿤
,,,,,,,,,,,,6,B,"이병헌, 박서준, 박보영, 김선영 등 머박 유명배우들이 많이 나와!",머박
,,,,,,,,,,,,7,A,레알 쩐다.ㅎㅎ 상영시간은 얼마나 되??,레알;쩐다
,,,,,,,,,,,,8,B,상영시간은 130분 정도고 15세 이상 관람가야.,
,,,,,,,,,,,,9,A,나는 콘크리트 유토피아가 재난물인 줄 알았는데 재난 이후의 상황을 다루는 디스토피아물이더라고?,
,,,,,,,,,,,,10,B,맞아. 그래서 실망했다는 사람들도 많은데 배우들이 다 연기를 잘하고 엄태화 감독이 연출도 잘해서 완전 강추야!,강추
,,,,,,,,,,,,11,A,검색 해보니까 엄태화 감독이 박찬욱 감독의 연출부 출신이더라!,
,,,,,,,,,,,,12,B,진짜? 그럼 무적권 믿보야!ㅎㅎ,믿보;무적권
,,,,,,,,,,,,13,A,콘크리트 유토피아 보고 온 사람들 후기 들어보면 결말에서 호불호가 갈리기도 하던데 어땠어?,
,,,,,,,,,,,,14,B,맞아. 영화 분위기 자체가 어둡다 보니까 호불호가 갈린다고 해. 그렇지만 완성도로 따지면 꽤 괜찮은 작품 인 것 같아.,
,,,,,,,,,,,,15,A,오 레알 기대된다. 기회가 된다면 웹툰도 한 번 보고싶어.,레알
,,,,,,,,,,,,16,B,다음에 원작 웹툰 보게 되면 후기 알려줄래? ㅎㅎ,
,,,,,,,,,,,,17,A,굿굿! 재밌으면 다음에 추천해줄께!,굿굿
274448,0028,여자,30,0120,남자,30,,,,콘텐츠 소비,오 마이걸 9집 컴백,1,A,야야야. 지락실에 미미가 오마이걸이라더라.,지락실
,,,,,,,,,,,,2,B,알지~ 물보라를 일으켜~ 그 아이돌! 갑자기 오마이걸은 왜?,
,,,,,,,,,,,,3,A,아. 좀전에 기사를 보는데 오마이걸이 9집 컴백을 한다더라고.,
,,,,,,,,,,,,4,B,데뷔한지가 좀 됐나? 앨범 낸게 아홉게나 된단거야?,
,,,,,,,,,,,,5,A,데뷔한지는 9년차네! 2015년에 데뷔했대.,
,,,,,,,,,,,,6,B,아이돌치곤 오래되긴 했네. 그럼 이번 9집 컴백 컨셉이랑 타이틀 곡은 뭐래?,
,,,,,,,,,,,,7,A,"이번 9집앨범 컨셉은 골든아워글래스이고, 타이틀곡은 여름이 들려래.",
,,,,,,,,,,,,8,B,"타이틀곡 제목이 여름이 들어가는거 보니, 여름에 컴백하는건가?",
,,,,,,,,,,,,9,A,맞아. 2023년 7월 24일에 컴백 한다더라고.,
,,,,,,,,,,,,10,B,지락실로 미미가 예능캐를 갱신하면서 인지도가 높아진건가?,지락실;예능캐
,,,,,,,,,,,,11,A,미미는 최근에 유명해진거고 이미 오마이걸에서는 멤버마다 각각의 매력으로 인지도를 쌓아오고 있었지. 초반엔 안좋았지만 5년차때 부터 차츰 인기도도 높아졌지.,
,,,,,,,,,,,,12,B,지금 현재 활동하는 아이돌들이 4세대 아이돌? 이라고 하잖아. 오마이걸은 그럼 2세대? 3세대?,
,,,,,,,,,,,,13,A,오마이걸은 3세대 아이돌이라고 불려.,
,,,,,,,,,,,,14,B,오마이걸 멤버는 지금 현재 누구누구야?,
,,,,,,,,,,,,15,A,"멤버는 미미, 승희, 유아, 효정, 아린, 유빈 이렇게 6명이야.",
,,,,,,,,,,,,16,B,그렇구만. 이참에 오마이걸 띵곡들 좀 들어봐야겠네.,띵곡
290295,0060,여자,40,0121,남자,40,,,,콘텐츠 소비,"영화 올드보이, 20주년 특별 재개봉",1,A,이번 주말엔 극장 어때? 뭘 보고픈 거 있어?,
,,,,,,,,,,,,2,B,"고전 영화도 괜찮다면, ‘올드보이’ 보고 싶어졌어.",
,,,,,,,,,,,,3,A,"극장 간다니까, ‘올드보이’ 어디서 볼 수 있는데?",
,,,,,,,,,,,,4,B,롯데시네마나 KT&G 상상마당에서 상영하고 있어.,
,,,,,,,,,,,,5,A,정말? 갑자기 왜 ‘올드보이’를 상영하기로 한 거야?,
,,,,,,,,,,,,6,B,20주년 기념해서 특별 상영하는 거야. 미국에서도 다시 봤어.,
,,,,,,,,,,,,7,A,미국에서? 거기서 다시 상영해도 인기 많을까?,
,,,,,,,,,,,,8,B,8월 29일자로 1.9억 달러 수익을 냈대. 제법 관심받는 거 같아.,
,,,,,,,,,,,,9,A,1.9억 달러면 별로 크지 않은 금액 아닌가? 평가가 너무 좋지 않았나?,
,,,,,,,,,,,,10,B,"응응, 미국에서 다시 개봉해서 100만 달러 이상 벌어들인 건 드문 일이래. ‘타이타닉’이나 ‘아바타’ 정도야.",
,,,,,,,,,,,,11,A,"오, 그럼 잘 나가고 있는 거네. 우리나라에서는 언제까지 볼 수 있어?",
,,,,,,,,,,,,12,B,"상상마당은 매달 21일에 상영해서 11월까지 있고, 롯데는 9월 20일부터 26일까지야.",
,,,,,,,,,,,,13,A,별로 길지 않네. 표 예매는 네가 할래?,
,,,,,,,,,,,,14,B,"응응, 둘 중 어디든 상관없지? 좋은 자리로 예약해둘게.",
,,,,,,,,,,,,15,A,"응, 이제 월드스타 된 배우들의 젊은 시절 볼 수 있겠다, ㅋㅋ",
,,,,,,,,,,,,16,B,"ㅋㅋ 맞아, 그때 연기 진짜 소름 돋았잖아. 기대되네.",
273580,0050,여자,30,0114,남자,30,,,,콘텐츠 소비,디즈니플러스,1,A,하도 넷플 드라마를 많이 봤더니 웬만한 거 다 본 거 같어 ㅋㅋ,넷플
,,,,,,,,,,,,2,B,ㅎㅎ볼 거 엄청 많은데 그걸 다 봤단 말이야? 드라마 덕후구만ㅋㅋ,덕후
,,,,,,,,,,,,3,A,ㅇㅇ나 드라마 진짜 조아함. 다른 OTT도 함 봐볼까 싶은데 추천할 거 있냐.,
,,,,,,,,,,,,4,B,디즈니플러스 ㄱㄱ~ 요새 잼난 거 많음,
,,,,,,,,,,,,5,A,그랭? 디즈니플러스는 한 달에 얼마야?,
,,,,,,,,,,,,6,B,월 구독료 9900원이야. 넷플릭스랑 비슷해~,
,,,,,,,,,,,,7,A,아항. 거기도 연간 요금제 있어?,
,,,,,,,,,,,,8,B,당연하지. 연간 요금 없는 OTT는 없을 걸? 99000원임. 난 연간 구독해 ㅎㅎ,
,,,,,,,,,,,,9,A,오홍~ 가격 나쁘지 않네. 잼난 거 뭐 있어?,
,,,,,,,,,,,,10,B,요새 비질란테 잼나드라. 글고 디즈니에서 만든 OTT라 당연히 디즈니 영화 라인업 쩔고 ㅋ,
,,,,,,,,,,,,11,A,비질란테가 디즈니플러스에서 나오는구나. 재밌다고 말은 많이 하더만. 그거 주연 배우가 누구지?,
,,,,,,,,,,,,12,B,"남주혁, 유지태~ 디즈니플러스 오리지널임ㅎ",
,,,,,,,,,,,,13,A,아 레알? 오리지널인지는 몰랐다. 디즈니가 대박 터뜨렸구만!,
,,,,,,,,,,,,14,B,ㅇㅇ잘은 몰라도 아마 효자노릇 제대로 했을 듯ㅋㅋ,
,,,,,,,,,,,,15,A,그랬겠다.ㅎ 나도 이참에 디즈니플러스 한 달만 봐야겠다.,
,,,,,,,,,,,,16,B,그래~ 보고 괜찮음 연간 구독 하삼ㅋㅋ,
275510,0064,여자,40,0123,남자,40,,,,콘텐츠 소비,말하는동물원 뿌빠TV,1,A,요즘 귀요미 보는 낙으로 산다~,
,,,,,,,,,,,,2,B,갑자기 귀요미라니 어디에 꽂힌거임?,
,,,,,,,,,,,,3,A,너도 밈으로 봤을거야. 푸바오가 넘나 좋음,넘나
,,,,,,,,,,,,4,B,어 맞아. 인스스에서 봤었는데 넌 푸바오 영상 어디서 봐?,인스스
,,,,,,,,,,,,5,A,난 유튭에서 에버랜드에서 제작하는 말하는 동물원 뿌빠TV를 봐,유튭
,,,,,,,,,,,,6,B,에버랜드 유튜브가 있구나. 뿌빠는 어떤 뜻이야?,
,,,,,,,,,,,,7,A,똥을 형상화해서 뿌지직빠지직의 줄임말이야 ㅋㅋ,
,,,,,,,,,,,,8,B,완전 어린이들 취향 저격이네. 거기서 푸바오의 일상을 보는거야?,취향 저격
,,,,,,,,,,,,9,A,ㅇㅇ 강바오로 불리는 강철원 사육사의 시점으로 바오 가족의 일상을 볼 수 있어,강바오
,,,,,,,,,,,,10,B,그래서 전지적 할부지 시점이라는 말이 있구나. 근데 요즘 푸바오 보러 가는 사람이 더 많다고 하는데 왜 그런지 알아?,
,,,,,,,,,,,,11,A,푸바오가 내년 3월에 중국으로 돌아가야되서 그럴거야,
,,,,,,,,,,,,12,B,푸바오는 우리나라에서 태어나고 계속 키웠는데 왜 중국으로 가야해?,
,,,,,,,,,,,,13,A,"판다의 모든 소유권은 중국에 있다는 워싱턴 협약을 따라야 해서 그래. 푸바오의 엄마, 아빠 판다도 우리나라에 15년 임대계약을 맺고 왔거든.",
,,,,,,,,,,,,14,B,아이바오랑 러바오는 15년인데 푸바오는 태어난지 얼마 안됐잖아?,
,,,,,,,,,,,,15,A,새끼가 태어날 때는 4살 전에 중국으로 보내도록 되어있대,
,,,,,,,,,,,,16,B,아 너무 아쉽네. 푸바오가 중국으로 가기전에 우리도 보러가자,
,,,,,,,,,,,,17,A,좋아~. 조만간 만나서 상의해보자~,
276917,0095,여자,40,0129,남자,40,,,,콘텐츠 소비,뉴진스 Super Shy 1억 스트리밍 최단 기간 달성,1,A,뉴진스의 슈퍼 샤이 뮤직비디오가 1억뷰를 넘었대.,
,,,,,,,,,,,,2,B,대박! 진짜? 그럼 뉴진스는 1억뷰 뮤비가 총 몇 개야?,대박
,,,,,,,,,,,,3,A,"하이프 보', 오마이갓에 이어 슈퍼 샤이가 3번째 1억뷰 뮤비야.",
,,,,,,,,,,,,4,B,레게노네. 슈퍼 샤이는 얼마만에 1억뷰를 달성한 거야?,레게노
,,,,,,,,,,,,5,A,슈퍼 샤이는 공개된 지 90일 만에 1억뷰를 기록했어. 뉴진스가 선보인 뮤비 중에서는 최단 기간이래.,
,,,,,,,,,,,,6,B,그럼 하이프 보이나 '오마이갓'은 얼마나 걸렸어?,
,,,,,,,,,,,,7,A,"하이프 보이는 255일 만에, 오마이갓는 130일 만에 1억뷰를 기록했어. 슈퍼 샤이는 이보다 훨씬 빠르게 달성했네.",
,,,,,,,,,,,,8,B,슈퍼 샤이'노래는 어떤 노래야?,
,,,,,,,,,,,,9,A,저지 클럽 리듬과 신나는 비트가 인상적인 댄스 곡이야. 뮤비에서는 이국적인 영상미와 역동적인 플래시몹 퍼포먼스가 돋보였어.,
